artist, artist_normalized
"Boozou Bajou","Boozoo Bajou"
"Boris Gardiner ","Boris Gardiner"
"Boris Gardner","Boris Gardiner"
"Boroken Bells","Broken Bells"
"Bossacanova","Bossacucanova"
"bossacucanova","Bossacucanova"
"Bossacucanova ","Bossacucanova"
"Bossa Eletrica","A Bossa Eletrica"
"Bossman DLow","Bossman Dlow"
"Boston 168","Boston "
"Boston Bun","Boston "
"Boston Pops Arthur Fiedler","Arthur Fiedler and the Boston Pops"
"Bothy Band","The Bothy Band"
"Bottlerockets","BottleRockets"
" Bottle Rockets","Bottle Rockets"
"Boubacar Traoré","Boubacar Traore"
"Boubacar Traoure","Boubacar Traore"
"Boukaman Eksperyans","Boukman Eksperyans"
"Boukmans Eksperyans","Boukman Eksperyans"
"Bow Bow Bow","Bow Thayer"
"Bow Bow Wow","Bow Wow Wow"
"Bowie and Queen","Queen and David Bowie"
"Bow Thayer and The Perfect Trainwre","Bow Thayer and Perfect Trainwreck"
"Boxcars","Boxcar"
"Boxed In ","Boxed In"
"Boxer Rebellion","The Boxer Rebellion"
"Boxmasters","The Boxmasters"
"Box Tops, The","The Box Tops"
"Boy Division","Joy Division"
"B.O.Y.F","B.O.Y.F."
"Boy Genius","BoyGenius"
"Boy George ","Boy George"
"Boy George and Culture Club","Boy George And Culture Club"
"Boys Boys","Baby Boys"
"Boys Don’t Cry","Boy’s Don’t Cry"
"Boys Noize & Totally Enormous Extinct Dinosaurs","Totally Enormous Extinct Dinosaurs"
"Boyz II Men ","Boyz II Men"
"  Boz Scaggs","Boz Scaggs"
"Boz Scaggs ","Boz Scaggs"
"Bpa Feat Martha Wainwright","Martha Wainwright "
"BPa feat Martha Wainwright","Martha Wainwright "
"BPA Feat Martha Wainwright","Martha Wainwright "
"Bradford Marsalis","Branford Marsalis"
"Brad Mahldau","Brad Mehldau"
"Brad Mehdlau","Brad Mehldau"
"Brad Mehdlau Trio","Brad Mehldau Trio"
"Brad Mehldau ","Brad Mehldau"
"Brad Mehldau & Chris Thile","Chris Thile & Brad Mehldau"
"Brad Melhdau","Brad Mehldau"
"Brad Nehldau","Brad Mehldau"
"Bragg and Wilco","Billy Bragg  and Wilco"
"Brah Mehldau","Brad Mehldau"
"Brain Eno & David Byrne","Brian Eno & David Byrne"
"Brain Eno & John Cale","Brian Eno & John Cale"
"Braizilian Girls","Brazilian Girls"
"Braken","Bracken"
"Bram Tchalkovsky","Bram Tchaikovsky"
"Bram Tchiakovsky","Bram Tchaikovsky"
"Branda Holloway","Brenda Holloway"
"Brandford Marsalis","Branford Marsalis"
"Brandi Carile","Brandi Carlile"
"Brandi Carilie","Brandi Carlile"
"Brandi Carlie","Brandi Carlile"
"  Brandi Carlile","Brandi Carlile"
" Brandi Carlile","Brandi Carlile"
"Brandi Carlile            ","Brandi Carlile and Emmylou Harris"
"Brandi Carlile","Brandi Carlile"
"Brandi Carlile  and  Emmylou Harris","Brandi Carlile and Emmylou Harris"
"Brandi Carlile and Emmylou Harris ","Brandi Carlile and Emmylou Harris"
"Brandi Carlile And Emmylou Harris","Brandi Carlile and Emmylou Harris"
"Brandi Carlile & Emmylou Harris","Brandi Carlile and Emmylou Harris"
"Brandi Carlile Memoir","Brandi Carlile "
"Brandi Carlilie","Brandi Carlile"
"Brandi Carlille","Brandi Carlile"
"Brandi Carlise","Brandi Carlisle"
"Brandie Carlile","Brandi Carlile"
"Brandy`","Brandy"
"Brandy Clark ","Brandy Clark"
"Brandy Clarke","Brandy Clark"
"Brandye","Brandy"
"Brandy & Monica","Monica & Brandy"
"Branford & Ellis Marsalis","Branford Marsalis"
"Branford Marsalis Quartet","Branford Marsalis"
"Branford Marsalis Trio","Branford Marsalis"
"Bran Setzer","Brian Setzer"
". Bratmobile","Bratmobile"
"Brazilan Girls","Brazilian Girls"
"Braziliam Girls","Brazilian Girls"
"Brazililan Girls","Brazilian Girls"
"Brazillan Girls","Brazillian Girls"
"Brazillian Girl","Brazillian Girls"
"Brazlian Girls","Brazilian Girls"
"Breach & Dark Sky","Dark Dark Dark"
"Bread ","Bread"
"[Break] Richard Thompson"," Richard Thompson"
"Breakstra","Breakestra"
"Breakway","Breakaway"
"Brecker Brothers","The Brecker Brothers"
"Breeders, The","The Breeders"
"Breedes","Breeders"
"Bregory Isaacs","Gregory Isaacs"
"Brenda Hollaway","Brenda Holloway"
"Brenda Lee ","Brenda Lee"
"Brendon Canning","Brendan Canning"
"Brendon Wood","Brenton Wood"
"Brennan Leigh","Brennen Leigh"
"Brent Amaker and the Rodeo","Brett Amaker and the Rodeo"
"Brent Amaker and The Rodeo","Brett Amaker and the Rodeo"
"Brent Cobb ","Brent Cobb"
"Brent Cobb                ","Adam Hood ft. Brent Cobb"
"Brent Fiyaz","Brent Faiyaz"
"Brentron Wood","Brenton Wood"
"Bret Dennen","Brett Dennen"
"Breton Wood","Brenton Wood"
"Brett Carson","Brett Larson"
"Brett Carter","Betty Carter"
"Brett Dennan","Brett Dennen"
"  Brett Dennen","Brett Dennen"
"Brett Dennen ","Brett Dennen"
"Brett Harris","Betty Harris"
"Brewer And Shipley","Brewer and Shipley"
"Brgitte Bardot","Brigitte Bardot"
"Briana Mariela","Briana Marela"
"Brian Bennett Band","Brian Bennett"
"Brian Bright","Brian Wright"
"Brian D’Addario","Brian D'Addario"
"Brian Eno And David Byrne","Brian Eno and David Byrne"
"Brian Eno and John Cale","Brian Eno and John Cale."
"Brian Eno and John Cale ","Brian Eno and John Cale."
"Brian Eno And John Cale","Brian Eno and John Cale."
"Brian Eno              David Byrne","Brian Eno and David Byrne"
"Brian Eno & David Byrne  ","Brian Eno & David Byrne"
"Brian Eno + David Byrne","Brian Eno & David Byrne"
"Brian Eno - David Byrne","Brian Eno & David Byrne"
"Brian Eno / David Byrne","Brian Eno & David Byrne"
"Brian Eno, David Byrne","Brian Eno & David Byrne"
"Brian Eno & Harold Budd","Brian Eno and Harold Budd"
"Brian Eno / John Cale","Brian Eno & John Cale"
"Brian Eno John Cale","Brian Eno & John Cale"
"Brian Eno, John Cale","Brian Eno & John Cale"
" Brian Eno & J. Peter Schwalm","Brian Eno & J.Peter Schwalm"
"Brian Eno & J Peter Schwalm","Brian Eno & J.Peter Schwalm"
"Brian Eno & J. Peter Schwalm","Brian Eno & J.Peter Schwalm"
"Brian Eno (UK)","Brian Eno "
"Brian Fallon ","Brian Fallon"
"Brian Hyland ","Brian Hyland"
"Brian Jackson, Adrian Younge and Ali Shaheed Muhammad","Adrian Younge and Ali Shaheed Muhammad"
"Brian Joseph Davis","Brian Joseph "
"Brianna Kočka","Brianna Kocka"
"Brian Setzer ","Brian Setzer"
"Brian Setzer & His Orchestra","Brian Setzer Orchestra"
"Brian Willson","Brian Wilson"
"  Brian Wilson","Brian Wilson"
" Brian Wilson","Brian Wilson"
"Bridgette Calls Me Baby","Brigitte Calls Me Baby"
"Bridgette De Meyer","Brigette DeMeyer"
"Bridgette Fontaine","Brigitte Fontaine"
"Bridgitte Bardot","Brigitte Bardot"
"Bridgitte Calls Me Baby","Brigitte Calls Me Baby"
"Brigdgitte Fontain","Brigitte Fontaine"
"Brigette Bardot","Brigitte Bardot"
"Brigette Calls Me Baby","Brigitte Calls Me Baby"
"Brigette DeMeyer and Will Kimbrough","Brigitte DeMeyer and Will Kimbrough"
"Brigette Demeyer & Will Kimborough","Brigitte DeMeyer & Will Kimbrough"
"Brigette Fontaine","Brigitte Fontaine"
"BrighBlack Morning Light","Brightblack Morning Light"
"Brightback Morning Light","Brightblack Morning Light"
" Bright Black Morning Light","Brightblack Morning Light"
"Bright Black Morning Light","Brightblack Morning Light"
"BrightBlack  Morning Light","Brightblack Morning Light"
"BrightBlack Morning Light","Brightblack Morning Light"
"Bright Eyes               ","Bright Eyes & Britt Daniel"
"Bright Eyes and Britt Daniel","Bright Eyes & Britt Daniel"
"Bright Eyes & Neva Dinova","Bright Eyes / Neva Dinova"
"Bright Eyes / Neva Divona","Bright Eyes / Neva Dinova"
"Bright Littlefield","Bright Little Field"
"Brights","Bright"
"Brigite Bardot","Brigitte Bardot"
"Brigitte DeMeter   and  Will Kimbrough","Brigitte DeMeyer and Will Kimbrough"
"   Brigitte DeMeyer","Brigitte DeMeyer"
" Brigitte DeMeyer","Brigitte DeMeyer"
"Brigitte De Meyer","Brigitte DeMeyer"
"Brigitte DeMeyer     Will Kimbrough","Brigitte DeMeyer and Will Kimbrough"
"Brigitte DeMeyer  & Will Kimbrough","Brigitte DeMeyer & Will Kimbrough"
"Brigitte Fontaine & Khan","Brigitte Fontaine"
"Briish Sea Power","British Sea Power"
"Brinsley Schwartz","Brinsley Schwarz"
"Brinsley Schwarz ","Brinsley Schwarz"
"Briscoe ","Briscoe"
"Briston Moroney","Briston Maroney"
"Britanny Howard","Brittany Howard"
"Brita Phillips","Britta Phillips"
"British SeaPower","British Sea Power"
"Britney. Spears","Britney Spears"
"Britney Spears & Elton John","Britney Spears Elton John"
"Brittany Howard ","Brittany Howard"
"Brittany Howard And Ruby Amanfu","Brittany Howard and Ruby Amanfu"
"Brittany Howard & Childish Gambino","Brittany Howard and Childish Gambino"
"Brittany Howard, Childish Gambino","Brittany Howard and Childish Gambino"
"Brittany Howard feat. Childish Gambino","Brittany Howard and Childish Gambino"
"Brittany Howard & Ruby Amanfu","Brittany Howard and Ruby Amanfu"
"Britta Philips","Britta Phillips"
"Britta Phillips and Dean Wareham","Dean Wareham & Britta Phillips"
"Britta Phillips & Dean Wareham","Dean Wareham & Britta Phillips"
"Britt Daniel ","Britt Daniel"
"Britt Daniels","Britt Daniel"
"Brittnay Howard","Brittany Howard"
"Brittney Howard","Brittany Howard"
"Britttany Howard","Brittany Howard"
"Brjean","Brijean"
"Broadcast and The Focus Group","Broadcast and the Focus Group"
"Broadcast And The Focus Group","Broadcast and the Focus Group"
"Broadcast & Focus Group","Broadcast & the Focus Group"
"Broadcast & The Focus Group","Broadcast & the Focus Group"
"Brock Benton","Brook Benton"
"Brodcast","Broadcast"
"Brodsky Quartet & Elvis Costello","Elvis Costello and the Brodsky Quartet"
"Broekn Bells","Broken Bells"
"Broken Bells ","Broken Bells"
"Broken English","Brokin English"
"Broken Social Scene  ","Broken Social Scene "
"Broken Social Scenes","Broken Social Scene"
"Broken Social Scene & Years","Broken Social Scene"
"Broken Social Science","Broken Social Scene"
"Broken West","The Broken West"
"Bromberg Band","David Bromberg Band"
"Broncho ","Broncho"
"Bronco","Broncho"
"Bronksi Beat","Bronski Beat"
"Bronski Beat ","Bronski Beat"
"BRONSON feat. Totally Enormous Extinct Dinosaurs","Totally Enormous Extinct Dinosaurs"
"Brook Benton ","Brook Benton"
"Brook Benton and Dinah Washington","Dinah Washington and Brook Benton"
"Brook Benton & Dinah Washington","Dinah Washington and Brook Benton"
"Brooke Benton","Brook Benton"
"Brooker T Jones","Booker T Jones"
"Brooks Brooks","Brooks and Dunn"
"Brooks WIlliams","Brooks Williams"
"Brother Ah","Brother"
"Brother Ali & Ant","Brother Ali "
"Brother Buffalo (Eyak)","Buffalo Buffalo Buffalo"
"Brother D","Brother"
"Brother jack McDuff","Brother Jack McDuff"
"Brother Jack Mcduff","Brother Jack McDuff"
"""Brother"" Jack McDuff","Brother Jack McDuff"
"“Brother” Jack McDuff","Brother Jack McDuff"
"Brother Jack Mc Duff","Brother Jack McDuff"
"Brother JT","Brother"
"Brother M","Brother"
"Brothers","Brother"
"Brothers and Sisters","Brother and Sister"
"   Brothers Four","The Four Brothers"
"  Brothers Four","The Four Brothers"
" Brothers Four","The Four Brothers"
"Brothers Four","The Four Brothers"
"Brothers Four ","The Four Brothers"
"Brothers  Johnson","The Brothers Johnson"
"Brothers Johnson","The Brothers Johnson"
"Brothers Osborne","The Osborne Brothers"
"Brownie McGee","Brownie McGhee"
"Brownie McGee & Sonny Terry","Brownie McGhee & Sonny Terry"
"Brownie Mcghee","Brownie McGhee"
"Brownie McGhee And Sonny Terrry","Brownie McGhee and Sonny Terry"
"Brownie McGhee And Sonny Terry","Brownie McGhee and Sonny Terry"
"Brownie McGhee &N Sonny Te","Brownie McGhee & Sonny Terry"
"Brownie McGhee Sextet","Brownie McGhee "
"Brownie McGhee & Sonny Ter","Brownie McGhee & Sonny Terry"
"Brownout ","Brownout"
"Brownut","Brownout"
"Browout","Brownout"
"Brrian Whelan","Brian Whelan"
"Brttany Howard","Brittany Howard"
"Brubeck, Dave","Dave Brubeck"
"Bruce Coburn","Bruce Cockburn"
"  Bruce Cocburn","Bruce Cockburn"
"  Bruce Cockburn","Bruce Cockburn"
" Bruce Cockburn","Bruce Cockburn"
"Bruce  Cockburn","Bruce Cockburn"
"Bruce Hornsby ","Bruce Hornsby"
"Bruce Hornsby And The Noisemakers","Bruce Hornsby and The Noisemakers"
"Bruce Hornsby and the Range","Bruce Hornsby and The Range"
"Bruce Hornsby And The Range","Bruce Hornsby and The Range"
"Bruce Hornsby & Ricky Skaggs","Ricky Skaggs & Bruce Hornsby"
"Bruce Hornsby & The Noisemakers","Bruce Hornsby and The Noisemakers"
"Bruce Hornsby & The Range","Bruce Hornsby and The Range"
"Bruce Hornsby & The Range ","Bruce Hornsby and The Range"
"Bruce Riffin","Bruce Ruffin"
"Bruce Robinson And Kelly Willis","Bruce Robison and Kelly Willis"
"Bruce Robinson & Kelly Willis","Bruce Robison & Kelly Willis"
"Bruce Robison And Kelly Willis","Bruce Robison and Kelly Willis"
"Bruce Robison feat. Kelly Willis","Bruce Robison & Kelly Willis"
"Bruce Robison (w/ Kelly Willis)","Bruce Robison & Kelly Willis"
"Bruce Ruuffin","Bruce Ruffin"
"Bruce Spingsteen","Bruce Springsteen"
"Bruce Springsdteen","Bruce Springsteen"
"Bruce Springsteen         "," Bruce Springsteen"
"Bruce Springsteen","Bruce Springsteen"
"Bruce Springsteen and Patti Scialfa","Bruce Springsteen & Patti Scialfa"
"Bruce Springsteen and the E-Street Band","Bruce Springsteen and the E Street Band"
"Bruce Springsteen And The E Street Band","Bruce Springsteen and The E Street Band"
"Bruce Springsteen & E Street Band","Bruce Springsteen and the E Street Band"
"Bruce Springsteen & Patti Sciaffa","Bruce Springsteen & Patti Scialfa"
"Bruce Springsteen, Patti Scialfa","Bruce Springsteen & Patti Scialfa"
"Bruce Springsteen & the E Street Band","Bruce Springsteen and the E Street Band"
"Bruce Springsteen & the E-Street Band","Bruce Springsteen and the E Street Band"
"Bruce Springsteen & The E Street Band","Bruce Springsteen and The E Street Band"
"Bruce Springsteen�","Bruce Springsteen"
"Bruce Springstein","Bruce Springsteen"
"Bruce Springteen","Bruce Springsteen"
"Bruce Sprinsteen","Bruce Springsteen"
"Bruno Mars and Anderson Paak","Bruno Mars Anderson Paak and Silk Sonic"
"Bruno Mars, Anderson .Paak & Silk Sonic","Bruno Mars Anderson Paak and Silk Sonic"
"Bruntnell, Peter","Peter Bruntnell"
"Bryan Adams ","Bryan Adams"
"Bryan and Phyllys Barnes","Barnes and Barnes"
" Bryan Bowers","Bryan Bowers"
" Bryan Ferry","Bryan Ferry"
"Bryan Ferry ","Bryan Ferry"
"Bryan Fery","Bryan Ferry"
"B.t. Express","B.T. Express"
"B. T. Express","B.T. Express"
"B.T Express","B.T. Express"
"B.T.Express","B.T. Express"
"B & The Family","The Family"
"BTS Interview","Interview"
"Bubble","Bubbles"
"Buck ","Buck 65"
"Buckingham, Nicks","Buckingham Nicks"
"Buckinghams","The Buckinghams"
"Buckinghams, The","The Buckinghams"
"Buckinham Nicks","Buckingham Nicks"
"Buckley","T. Buckley"
"Buckner, Richard","Richard Buckner"
"Buck Owens &","Buck Owens "
"Buck Owens and his Buckaroos","Buck Owens and His Buckaroos"
"Buck Owens And His Buckaroos","Buck Owens and His Buckaroos"
"Buck Owens and his Buckeroos","Buck Owens and His Buckaroos"
"Buck Owens And His Buckeroos","Buck Owens and His Buckaroos"
"Buck Owens & His Buckaroos","Buck Owens and His Buckaroos"
"Buckshot Le Fonque","Buckshot Lefonque"
"Buckshot LeFonque","Buckshot Lefonque"
"Buckshot Lefunque","Buckshot Lefonque"
"Bucks Owens and His Buckaroos","Buck Owens and His Buckaroos"
"BuckWheat Zydeco","Buckwheat Zydeco"
"Buckwheat Zydeco Jr","Buckwheat Zydeco"
"Buckwheat Zydeco Jr.","Buckwheat Zydeco"
"Buddy Bow","Buddy Red Bow"
"Buddy Guy ","Buddy Guy"
"Buddy Holly and The Crickets","Buddy Holly & The Crickets"
"Buddy Holly And The Crickets","Buddy Holly & The Crickets"
"Buddy Holly & the Crickets","Buddy Holly & The Crickets"
"Buddy Holly Trio","Buddy Holly"
"Buddy & July Miller"," Buddy Miller"
"Buddy Merill","Buddy Merrill"
"Buddy Miler & Jim Lauderdale","Buddy Miller and Jim Lauderdale"
"Buddy Miles Band","Buddy Miles"
"  Buddy Miller"," Buddy Miller"
" Buddy Miller "," Buddy Miller"
"Buddy Miller  and  Jim Lauderdale","Buddy Miller and Jim Lauderdale"
"Buddy Miller & Friends","Buddy Miller and Friends"
"Buddy Miller & Jim Lauderdale","Buddy Miller and Jim Lauderdale"
"Buddy Miller & Nikki Lane","Buddy Miller feat. Nikki Lane"
"Buddy Red","Buddy Red Bow"
"Budo Band","Budos Band"
"Budos Bands","Budos Band"
"Budy Guy","Buddy Guy"
"Buell H. Kazee","Buell Kazee"
"Buena Vista Social Club Presents","Buena Vista Social Club"
"Buffalo Bob & The Rinkelstars","Buffalo Buffalo Buffalo"
"Buffalo Daughte","Buffalo Daughter"
"Buffalo Daughter feat. Cibo Matto","Buffalo Buffalo Buffalo"
"Buffalo Death Beam","Buffalo Buffalo Buffalo"
"Buffalo Hunt (with Shakey Graves)","Buffalo Buffalo Buffalo"
"Buffalo Nichols ","Buffalo Nichols"
"Buffalo Nichols          ","Buffalo Buffalo Buffalo"
"Buffalo Philharmonic Orchestra","Buffalo Buffalo Buffalo"
"Buffalo Rose & INEZ","Buffalo Buffalo Buffalo"
"Buffalo Rose & Tom Paxton","Buffalo Buffalo Buffalo"
"Buffalo Springfeild","Buffalo Buffalo Buffalo"
"Buffalo    Springfield","Buffalo Buffalo Buffalo"
"Buffalo Springfield ","Buffalo Springfield"
"Buffalo Springfield      ","Buffalo Buffalo Buffalo"
"Buffalo Springfield","Buffalo Springfield"
"Buffalo Springield","Buffalo Springfield"
"Buffalo Traffic Jam","Buffalo Buffalo Buffalo"
"Buffal Springfield","Buffalo Springfield"
" Buffy Sainte-Marie","Buffy Sainte-Marie"
"Buffy Sainte Marie","Buffy Sainte-Marie"
"Buffy Sainte- Marie","Buffy Sainte-Marie"
"Buffy Sainte-Marie ","Buffy Sainte-Marie"
"Buffy Sainte‐Marie","Buffy Sainte-Marie"
"Buffy Saint Marie","Buffy Sainte-Marie"
"Buffy Saint-Marie","Buffy Sainte-Marie"
"Bug Club, The","The Bug Club"
"Buggs, The","The The"
"Bugs in the Dark","Dark Dark Dark"
"Built to Spill ","Built to Spill"
"Built To Spill ","Built To Spill"
"Buirning Spear","Burning Spear"
"Buitl to Spill","Built to Spill"
"Buit To Spill","Built To Spill"
"Buke and Gase","Buke and Gass"
"Bulit To Spill","Built To Spill"
"Bullmoose Jackson","Bull Moose Jackson"
"Bully ","Bully"
"Bumps, The","The The"
"Bunny Berrigan","Bunny Berigan"
"Bunny Cloggs","Bunny Clogs"
"Bunny Wailor","Bunny Wailer"
"Bunny Walier","Bunny Wailer"
"Burce Springsteen","Bruce Springsteen"
"Burce Springsteen ","Bruce Springsteen "
"Burial  Four Tet  Thom Yorke","Burial Four Tet Thom Yorke"
"Burial & Four Tet & Thom Yorke","Burial Four Tet Thom Yorke"
"Burial & Four Tet / Thom Yorke","Burial Four Tet Thom Yorke"
"Burial + Four Tet + Thom Yorke","Burial Four Tet Thom Yorke"
"Burial +Four Tet + Thom Yorke","Burial Four Tet Thom Yorke"
"Burial, Four Tet & Thom Yorke","Burial Four Tet Thom Yorke"
"Burials","Burial"
"Burial  Thom Yorke  Four Tet","Burial Four Tet Thom Yorke"
"Burl Ives ","Burl Ives"
"Burnett, T Bone","T Bone Burnett"
"Burning Souls","The Burning Souls"
"Burning Spearo","Burning Spear"
"Burns Sisters  Band","The Burns Sisters Band"
"Burns Sisters Band","The Burns Sisters Band"
"Burt Bacharach and Elvis Costello","Elvis Costello and Burt Bacharach"
"Burt Bacharach & B.J. Thomas","Burt Bacharach & BJ Thomas"
"Burt Bacharach & Elvis Costello","Elvis Costello and Burt Bacharach"
"Buscabula","Buscabulla"
"Buscabulla Set","Buscabulla"
"Buscbulla","Buscabulla"
"Bush Man","Man Man"
"Busta Rhmes","Busta Rhymes"
"Busta Rhymes ","Busta Rhymes"
"Busta Ryhmes","Busta Rhymes"
"Busta Ryymes","Busta Rhymes"
"Buster Pointdexter","Buster Poindexter"
"Busy Signal","Busy Signals"
"Busy Signals, The","The Busy Signals"
"Butch Walker,","Butch Walker"
"Buthole Surfers","Butthole Surfers"
"Butterbeans And Susie","Butterbeans and Susie"
"Butterfield Blues","Butterfield Blues Band"
"Buttertones","The Buttertones"
"Buuffalo Springfield","Buffalo Springfield"
"Buy Now","Now  Now"
"Buzcocks","Buzzcocks"
"Buzzcocks, The","The Buzzcocks"
"Buzzcoks","Buzzcocks"
"Buzzocks","Buzzcocks"
"B. W. Stevenson","B.W. Stevenson"
"B.W.Stevenson","B.W. Stevenson"
"B.W.Stevensons","B.W. Stevenson"
"_By Alexander","Alexander"
"By Alexander","Alexander"
"by Bruce Robison ","Bruce Robison"
"Byland & The Bones of J.R. Jones","The Bones of J.R. Jones"
"Byrd Donald","Donald Byrd"
"Byrds, The","The The"
"Byron Lee & The Dragonaires","Byron Lee & The Dragonai"
"Byron Lee & The Dragonnaires","Byron Lee & The Dragonai"
"Byson Tiller","Bryson Tiller"
"Caamp ","Caamp"
"Caas McCombs","Cass McCombs"
"Cabarat Voltaire","Cabaret Voltaire"
"Cab Callaway","Cab Calloway"
"Cab Calloway and his Orchestra","Cab Calloway and His Orchestra"
"Cab Calloway And His Orchestra","Cab Calloway and His Orchestra"
"Cab Calloway & His Orch.","Cab Calloway & His Orch"
"Cab Calloway Orch.","Cab Calloway Orch"
"Caberet Voltaire","Cabaret Voltaire"
"Cactus Blossom","Cactus Blossoms"
"Cactus Blossoms, The","The Cactus Blossoms"
"Cadillacs","The Cadillacs"
"Caesar","Caesars"
"Caetano Veleso","Caetano Veloso"
"Caetano Veloso,","Caetano Veloso"
"CaetanoVeloso","Caetano Veloso"
"Caetano Veloso and David Byrne","David Byrne + Caetano Veloso"
"Caetano Veloso And David Byrne","David Byrne + Caetano Veloso"
"Caetano Veloso & David Byrne","David Byrne + Caetano Veloso"
"Caetao Veloso","Caetano Veloso"
"Caetono Veloso","Caetano Veloso"
"Cafe Tacuvba","Cafe Tacuba"
"Cafe Tacvuba","Cafe Tacuba"
"Cage the elephant","Cage the Elephant"
"Cage The Elephant ","Cage The Elephant"
"Cage The Elephant        ","Cage The Elephant"
"Cage the Elephant & Beck","Cage the Elephant"
"Cage The Elephant & Beck","Cage The Elephant"
"Cahalen Morrison &  Eli West","Cahalen Morrison and Eli West"
"Cahalen Morrison & Eli West","Cahalen Morrison and Eli West"
"Cailtin Rose","Caitlin Rose"
"Cairibou","Caribou"
"Caitin Canty","Caitlin Canty"
"Caitlin Butts","Kaitlin Butts"
"Caitlin Rose ","Caitlin Rose"
"CaitlinRose","Caitlin Rose"
"Caitlyn Rose","Caitlin Rose"
"Cajamere","Cajmere"
"Cakes da Killa","Cakes Da Killa"
"Cakes De Killa","Cakes Da Killa"
"Calder Allan","Calder Allen"
"Caleb Klauder & Reeb Willms","Caleb Klauder and Reeb Willms"
"Caleb Klauder / Reeb Willms","Caleb Klauder and Reeb Willms"
"Caleixico","Calexico"
" Calexico","Calexico"
"Calexico And Iron and Wine","Calexico and Iron and Wine"
"Calexico And Iron And Wine","Calexico and Iron and Wine"
"Calexico And Iron & Wine","Calexico and Iron & Wine"
"Calexico & Charlotte Gainsbourg","Charlotte Gainsbourg "
"Calexico ft. Iron & Wine","Calexico & Iron & Wine"
"Calexico/Iron and Wine","Calexico / Iron and Wine"
"Calexico & Iron And Wine","Calexico & Iron and Wine"
"Calexico / Iron And Wine","Calexico / Iron and Wine"
"Calexico  Iron & Wine","Calexico & Iron & Wine"
"Calexico Iron & Wine","Calexico & Iron & Wine"
"Calexico, Iron & Wine","Calexico & Iron & Wine"
"Calexico/Iron & Wine","Calexico / Iron & Wine"
"Calexio/Iron & Wine","Calexico / Iron & Wine"
"Calico Wall","The Calico Wall"
"California","California X"
"Calin with Fantastic Plastic Machine","Fantastic Plastic Machine"
"Callenish Circle","Circle Circle"
"Call Tjader","Cal Tjader"
"Cal Smith","Carl Smith"
"   Cal Tjader","Cal Tjader"
"CalTjader","Cal Tjader"
"Calvin Haris","Calvin Harris"
"Calvin So So Harris","Calvin Harris"
"Camera Obsura","Camera Obscura"
"Camera Oscura","Camera Obscura"
"Camer Van Beethovan","Camper Van Beethoven"
"Camile","Camille"
"Camile Yarbrough","Camille Yarbrough"
"Camilla and the Chickens","Camilla and The Chickens"
"Camillle Yarborough","Camille Yarborough"
"Campbell Brothers","The Campbell Brothers"
"Camp Cope ","Camp Cope"
"Camper van Beethoven","Camper Van Beethoven"
"Campl Lo","Camp Lo"
"Campo Van Beethoven","Camper Van Beethoven"
"Camron","Cam'ron"
"Can ","Can"
"Canci Staton","Candi Staton"
"Candala Allstars","Candela Allstars"
"Candella Allstars","Candela Allstars"
"Candid","Candide"
"Candi Stanton","Candi Staton"
"Candi Station","Candi Staton"
"Candy Rivers w Joe Liggins & His Honeydrippers","Joe Liggins & His Honeydrippers"
"Candy Staton","Candi Staton"
"Canned Champagne","Champagne Champagne"
"Canned Heat and John Lee Hooker (Disc 2)","Canned Heat and John Lee Hooker"
"Canned Heat & John Lee Hooker","Canned Heat and John Lee Hooker"
"Cannibal","Cannibal Ox"
"Cannibal Ox ‎","Cannibal Ox"
"Cannoball Adderley","Cannonball Adderley"
"*Cannonball Adderley","Cannonball Adderley"
"Cannonball Adderley and His Orchestra","Cannonball Adderley & His Orchestra"
"Cannonball Adderley and the Nat Adderley Sextet","Cannonball Adderley and Nat Adderley"
"Cannonball Adderley & Nancy Wilson","Nancy Wilson & Cannonball Adderly"
"Cannonball Adderley Quintet","Cannonball Adderley"
"Cannonball Adderley Sextet","Cannonball Adderley"
"Cannonball Adderly Quintet","Cannonball Adderly"
"Cannon’s Jug Stompers","Cannon's Jug Stompers"
"Capatal Cities","Capital Cities"
"Capitol K.","Capitol K"
"Capitols, The","The Capitols"
"Capitol Years","The Capitol Years"
"Capricorn","Capricorn One"
"Captain Beefheaert","Captain Beefheart"
"Captain Beefheart  and His Magic Band","Captain Beefheart and His Magic Band"
"Captain Beefheart And His Magic Band","Captain Beefheart and His Magic Band"
"Captain Beefheart and His Magic Band with Frank Zappa","Captain Beefheart and His Magic Band"
"Captain Beefheart & his Magic Band","Captain Beefheart & his Magic Band"
"Captain Beefheart & His Magic band","Captain Beefheart & His"
"Captain Beefheart & His Magic Band","Captain Beefheart & his Magic Band"
"Captain Beefheart I His Magic Band","Captain Beefheart and His Magic Band"
"Captain Beefheart & the Magic B","Captain Beefheart & The Magic Band"
"Captain Beefheart & The Magic B","Captain Beefheart & The Magic Band"
"Captain Beefheart & the Magic Band","Captain Beefheart & The Magic Band"
"Captain Beeheart And the Mjic Band","Captain Beefheart and the Magic Band"
"Captain Sensible ","Captain Sensible"
"Captain & Tennielle","Captain & Tennille"
"Capt. Beefheart & his Magic Band","Captain Beefheart & his Magic Band"
"Captian Beefheart","Captain Beefheart"
"Captian Beefheart & His Magic Band","Captain Beefheart & his Magic Band"
"Caravelles","The Caravelles"
"Carbon and Silicon","Carbon Silicon"
