artist, artist_normalized
"Academy of St. Martin-in-the-Fields Neville Mariner","Academy of St. Martin-in-the-Fields"
"Accidentals","The Accidentals"
"AC / DC","AC DC"
"A. Celeste","Celeste"
"A Certain Radio","A Certain Ratio"
"A Certain ratio","A Certain Ratio"
"A Certian Ratio","A Certain Ratio"
"Aceylone","Aceyalone"
"Achitecture in Helsinki","Architecture in Helsinki"
"Acid Queen"," Queen "
"A. C. Newman","A.C. Newman"
"A.C Newman","A.C. Newman"
"A.C.Newman","A.C. Newman"
"A. C. Reed","A.C. Reed"
"AC Run DMC","Run DMC"
"Ac Sapphire","Sapphire"
"AC Sapphire","Sapphire"
"Action Action","Action Bronson"
"Action Broson","Action Bronson"
"Action Man","Man Man"
"Acyalone","Aceyalone"
"Adam and The Ants","Adam and the Ants"
"Adam Green & Binki Shapiro","Adam Green and Binki Shapiro"
"Adam Hood (feat. Brent Cobb)","Adam Hood ft. Brent Cobb"
"Adamson, Barry","Barry Adamson"
"Adam Wakefield","Adam  Wakefield"
"Add N to (X)","Add N To (X)"
"Ade & Connan Mockasin","Connan Mockasin"
"Adeem The Artist","Adeem the Artist"
"Adele H","Adele"
"Adian Young","Adrian Younge"
"Adia Victoria ","Adia Victoria"
"Adia Victoria�","Adia Victoria"
"Adorables","Adorable"
"Adriane Lenker","Adrianne Lenker"
"Adriane Young","Adrianne Young"
"  Adrian Legg","Adrian Legg"
" Adrian Legg","Adrian Legg"
"Adriano Calentano","Adriano Celentano"
"Adrian Quesada & Abraham Alexander","Adrian Quesada and Abraham Alexander"
"Adrian Quesada and Ocote Soul Sounds","Ocote Soul Sounds and Adrian Quesada"
"Adrian Quesada, Buffalo Hunt","Buffalo Buffalo Buffalo"
"Adrian Quesada & iLe","Adrian Quesada"
"Adrian Quesada & Ocote Soul Sounds","Ocote Soul Sounds and Adrian Quesada"
"Adrian Quesdada","Adrian Quesada"
"Adrian Yonge","Adrian Younge"
"Adrian Young","Adrian Younge"
"Adrian Young & Ali Shaheed Muhmmad","Adrian Younge and Ali Shaheed Muhammad"
"Adrian Young And Ali Shaheed Muhammad","Adrian Younge and Ali Shaheed Muhammad"
"Adrian Younge & Ali Shaheed Muhammad","Adrian Younge and Ali Shaheed Muhammad"
